2015,18073,26698,39671,40167,41996,58904,72962,88384,108314,123307,135715,144374
2016,159850,176124,194802,209018,219283,226921,233572,240330,247497,252127,256941,269989
2017,275419,291965,305026,315069,322834,341331,351436,351645,365788,368401,373907,377800
2018,383386,395575,409995,424884,432320,433396,441578,460406,479919,485701,495520,513927
2019,520805,525448,525830,540940,542760,547492,567235,571367,588232,597971,614151,627238
2020,644822,648853,653731,655725,669208,678252,697782,714295,718130,723555,726130,742985
2021,760230,776753,792604,799144,808656,811639,826300,829590,829812,831473,842831,861118
2022,866541,885477,893135,902756,910153,929507,930471,945011,950723,961087,970738,977419
2023,977721,993099,1002690,1020377,1037742,1046075,1064522,1074998,1076503,1095281,1096156,1113843
2024,1123400,1132433,1151674,1158175,1164430,1166198,1179045,1184648,1202965,1218242,1232710,1252628
